seqnames start end width strand gene_symbol
chr8 18248755 18258723 9969 + NAT2
chr13 95672083 95953687 281605 - ABCC4
chr4 38825329 38858438 33110 - TLR6
chr4 84213614 84256306 42693 - HPSE
chr18 51795849 51824604 28756 + POLI
chr6 52101484 52109298 7815 - IL17F
chr19 50364460 50370822 6363 - PNKP
chr1 247579458 247612406 32949 + NLRP3
chr10 101948124 101989344 41221 - CHUK
chr3 46411633 46417697 6065 + CCR5
chr6 150204511 150217195 12685 - RAET1E
chr1 226548392 226595801 47410 - PARP1
chr1 70876901 70905534 28634 + CTH
chr1 67604590 67725650 121061 + IL23R
chr2 204732511 204738683 6173 + CTLA4
chr6 150341266 150346668 5403 - RAET1L
chr19 41497204 41524301 27098 + CYP2B6
chr10 96447882 96612671 164790 + CYP2C19
chr10 96698415 96749148 50734 + CYP2C9
chr7 99245813 99332819 87007 - CYP3A5
chr22 50964181 50968514 4334 - TYMP
chr6 12290529 12297427 6899 + EDN1
chr22 41488614 41576081 87468 + EP300
chr6 151977830 152424408 446579 + ESR1
chr1 161475205 161489360 14156 + FCGR2A
chr11 61560109 61564714 4606 + FEN1
chr19 48706405 48759203 52799 - CARD8
chr12 10524952 10544490 19539 - KLRK1
chr14 59655381 59838123 182743 + DAAM1
chr12 54574142 54582778 8637 - SMUG1
chr1 114356433 114414375 57943 - PTPN22
chr22 24979718 25024972 45255 + GGT1
chr6 53362140 53409927 47788 - GCLC
chr1 94352590 94375012 22423 - GCLM
chr10 103338639 103348027 9389 - POLL
chr3 49394609 49395791 1183 - GPX1
chr14 65405870 65409623 3754 - GPX2
chr5 150399999 150408554 8556 + GPX3
chr9 5450503 5470567 20065 + CD274
chr6 52656178 52668664 12487 - GSTA1
chr11 67351066 67354124 3059 + GSTP1
chr22 24376139 24384284 8146 - GSTT1
chr2 204801471 204826298 24828 + ICOS
chr14 25100161 25103432 3272 - GZMB
chr13 31032879 31191510 158632 - HMGB1
chr14 20923290 20925931 2642 + APEX1
chr19 10381517 10397291 15775 + ICAM1
chr12 68548550 68553521 4972 - IFNG
chr6 137518621 137540567 21947 - IFNGR1
chr21 34775202 34809828 34627 + IFNGR2
chr6 150238014 150244214 6201 - RAET1G
chr10 90729553 90775542 45990 + FAS
chr8 42128820 42190171 61352 + IKBKB
chr2 113531492 113542971 11480 - IL1A
chr2 113587337 113594356 7020 - IL1B
chr2 102686836 102796334 109499 + IL1R1
chr2 113856937 113891593 34657 + IL1RN
chr4 123372626 123377650 5025 - IL2
chr10 6052657 6104333 51677 - IL2RA
chr1 172628185 172636012 7828 + FASLG
chr5 132009678 132018370 8693 + IL4
chr16 27325230 27376099 50870 + IL4R
chr7 22766766 22771621 4856 + IL6
chr1 154377669 154441926 64258 + IL6R
chr5 35856977 35879705 22729 + IL7R
chr4 74606223 74609433 3211 + CXCL8
chr1 206940948 206945839 4892 - IL10
chr11 117857106 117872199 15094 + IL10RA
chr21 34621014 34669539 48526 + IL10RB
chr3 159706623 159713806 7184 + IL12A
chr5 158741791 158757481 15691 - IL12B
chr19 18170371 18209626 39256 - IL12RB1
chr5 131993865 131996801 2937 + IL13
chr10 5994334 6020150 25817 - IL15RA
chr6 52051185 52055436 4252 + IL17A
chr11 112013974 112034840 20867 - IL18
chr4 76942269 76944689 2421 - CXCL10
chr19 50162826 50169132 6307 - IRF3
chr19 48618703 48673560 54858 - LIG1
chr17 33307517 33332088 24572 + LIG3
chr12 57522282 57607125 84844 + LRP1
chr2 95691400 95719737 28338 + MAL
chr10 54525140 54531460 6321 - MBL2
chr12 16500076 16530123 30048 + MGST1
chr22 24236565 24237409 845 + MIF
chr16 127018 135850 8833 + MPG
chr17 56347217 56358296 11080 - MPO
chr16 16043434 16236930 193497 + ABCC1
chr1 11845787 11866160 20374 - MTHFR
chr1 236958581 237067281 108701 + MTR
chr5 7869217 7901235 32019 + MTRR
chr1 45794914 45806142 11229 - MUTYH
chr4 103422486 103538459 115974 + NFKB1
chr10 104153867 104162286 8420 + NFKB2
chr14 35870716 35873960 3245 - NFKBIA
chr19 39390340 39399534 9195 + NFKBIB
chr12 117645947 117799607 153661 - NOS1
chr17 26083792 26220409 136618 - NOS2
chr7 150688144 150711687 23544 + NOS3
chr16 2089816 2097867 8052 - NTHL1
chr3 9791628 9808353 16726 + OGG1
