seqnames start end width strand gene_symbol start_position end_position
chr7 87133179 87342639 209461 - ABCB1 87123179 87352639
chr16 16043434 16236930 193497 + ABCC1 16033434 16246930
chr13 95672083 95953687 281605 - ABCC4 95662083 95963687
chr14 20923290 20925931 2642 + APEX1 20913290 20935931
chr19 6677846 6720662 42817 - C3 6667846 6730662
chr19 48706405 48759203 52799 - CARD8 48696405 48769203
chr21 44473301 44496472 23172 - CBS 44463301 44506472
chr17 32687399 32690252 2854 - CCL1 32677399 32700252
chr17 32582296 32584220 1925 + CCL2 32572296 32594220
chr17 34198496 34207377 8882 - CCL5 34188496 34217377
chr3 46411633 46417697 6065 + CCR5 46401633 46427697
chr5 140011313 140013286 1974 - CD14 140001313 140023286
chr9 5450503 5470567 20065 + CD274 5440503 5480567
chr2 204571198 204603636 32439 + CD28 204561198 204613636
chr20 44746906 44758384 11479 + CD40 44736906 44768384
chr3 121774209 121839988 65780 + CD86 121764209 121849988
chr10 101948124 101989344 41221 - CHUK 101938124 101999344
chr1 70876901 70905534 28634 + CTH 70866901 70915534
chr2 204732511 204738683 6173 + CTLA4 204722511 204748683
chr3 39304985 39323226 18242 - CX3CR1 39294985 39333226
chr4 76942269 76944689 2421 - CXCL10 76932269 76954689
chr4 74606223 74609433 3211 + CXCL8 74596223 74619433
chr19 41497204 41524301 27098 + CYP2B6 41487204 41534301
chr10 96447882 96612671 164790 + CYP2C19 96437882 96622671
chr10 96698415 96749148 50734 + CYP2C9 96688415 96759148
chr7 99245813 99332819 87007 - CYP3A5 99235813 99342819
chr14 59655381 59838123 182743 + DAAM1 59645381 59848123
chr6 12290529 12297427 6899 + EDN1 12280529 12307427
chr22 41488614 41576081 87468 + EP300 41478614 41586081
chr6 151977830 152424408 446579 + ESR1 151967830 152434408
chr10 90729553 90775542 45990 + FAS 90719553 90785542
chr1 172628185 172636012 7828 + FASLG 172618185 172646012
chr1 161475205 161489360 14156 + FCGR2A 161465205 161499360
chr11 61560109 61564714 4606 + FEN1 61550109 61574714
chr6 53362140 53409927 47788 - GCLC 53352140 53419927
chr1 94352590 94375012 22423 - GCLM 94342590 94385012
chr22 24979718 25024972 45255 + GGT1 24969718 25034972
chr3 49394609 49395791 1183 - GPX1 49384609 49405791
chr14 65405870 65409623 3754 - GPX2 65395870 65419623
chr5 150399999 150408554 8556 + GPX3 150389999 150418554
chr6 52656178 52668664 12487 - GSTA1 52646178 52678664
chr6 52614885 52628361 13477 - GSTA2 52604885 52638361
chr1 110198698 110283660 84963 + GSTM 110188698 110293660
chr11 67351066 67354124 3059 + GSTP1 67341066 67364124
chr22 24376139 24384284 8146 - GSTT1 24366139 24394284
chr14 25100161 25103432 3272 - GZMB 25090161 25113432
chr13 31032879 31191510 158632 - HMGB1 31022879 31201510
chr4 84213614 84256306 42693 - HPSE 84203614 84266306
chr19 10381517 10397291 15775 + ICAM1 10371517 10407291
chr2 204801471 204826298 24828 + ICOS 204791471 204836298
chr12 68548550 68553521 4972 - IFNG 68538550 68563521
chr6 137518621 137540567 21947 - IFNGR1 137508621 137550567
chr21 34775202 34809828 34627 + IFNGR2 34765202 34819828
chr8 42128820 42190171 61352 + IKBKB 42118820 42200171
chr1 206940948 206945839 4892 - IL10 206930948 206955839
chr11 117857106 117872199 15094 + IL10RA 117847106 117882199
chr21 34621014 34669539 48526 + IL10RB 34611014 34679539
chr3 159706623 159713806 7184 + IL12A 159696623 159723806
chr5 158741791 158757481 15691 - IL12B 158731791 158767481
chr19 18170371 18209626 39256 - IL12RB1 18160371 18219626
chr5 131993865 131996801 2937 + IL13 131983865 132006801
chr10 5994334 6020150 25817 - IL15RA 5984334 6030150
chr6 52051185 52055436 4252 + IL17A 52041185 52065436
chr6 52101484 52109298 7815 - IL17F 52091484 52119298
chr11 112013974 112034840 20867 - IL18 112003974 112044840
chr2 113531492 113542971 11480 - IL1A 113521492 113552971
chr2 113587337 113594356 7020 - IL1B 113577337 113604356
chr2 102686836 102796334 109499 + IL1R1 102676836 102806334
chr2 113856937 113891593 34657 + IL1RN 113846937 113901593
chr4 123372626 123377650 5025 - IL2 123362626 123387650
chr1 67604590 67725650 121061 + IL23R 67594590 67735650
chr10 6052657 6104333 51677 - IL2RA 6042657 6114333
chr5 132009678 132018370 8693 + IL4 131999678 132028370
chr16 27325230 27376099 50870 + IL4R 27315230 27386099
chr7 22766766 22771621 4856 + IL6 22756766 22781621
chr1 154377669 154441926 64258 + IL6R 154367669 154451926
chr5 35856977 35879705 22729 + IL7R 35846977 35889705
chr19 50162826 50169132 6307 - IRF3 50152826 50179132
chr12 10524952 10544490 19539 - KLRK1 10514952 10554490
chr19 48618703 48673560 54858 - LIG1 48608703 48683560
chr17 33307517 33332088 24572 + LIG3 33297517 33342088
chr12 57522282 57607125 84844 + LRP1 57512282 57617125
chr19 496490 505343 8854 + MADCAM1 486490 515343
chr2 95691400 95719737 28338 + MAL 95681400 95729737
chr3 129149787 129159022 9236 - MBD4 129139787 129169022
chr10 54525140 54531460 6321 - MBL2 54515140 54541460
chr12 16500076 16530123 30048 + MGST1 16490076 16540123
chr22 24236565 24237409 845 + MIF 24226565 24247409
chr16 127018 135850 8833 + MPG 117018 145850
chr17 56347217 56358296 11080 - MPO 56337217 56368296
chr1 11845787 11866160 20374 - MTHFR 11835787 11876160
chr1 236958581 237067281 108701 + MTR 236948581 237077281
chr5 7869217 7901235 32019 + MTRR 7859217 7911235
chr1 45794914 45806142 11229 - MUTYH 45784914 45816142
chr8 18027971 18081198 53228 + NAT1 18017971 18091198
