seqnames	start	end	width	strand	gene_symbol	start_position	end_position
109	chr7	87133179	87342639	209461	-	ABCB1	87123179	87352639
87	chr16	16043434	16236930	193497	+	ABCC1	16033434	16246930
2	chr13	95672083	95953687	281605	-	ABCC4	95662083	95963687
164	chr4	89011416	89152474	141059	-	ABCG2	89001416	89162474
46	chr14	20923290	20925931	2642	+	APEX1	20913290	20935931
145	chr19	6677846	6720662	42817	-	C3	6667846	6730662
26	chr19	48706405	48759203	52799	-	CARD8	48696405	48769203
156	chr21	44473301	44496472	23172	-	CBS	44463301	44506472
9	chr3	46411633	46417697	6065	+	CCR5	46401633	46427697
161	chr5	140011313	140013286	1974	-	CD14	140001313	140023286
38	chr9	5450503	5470567	20065	+	CD274	5440503	5480567
162	chr2	204571198	204603636	32439	+	CD28	204561198	204613636
165	chr20	44746906	44758384	11479	+	CD40	44736906	44768384
166	chrX	135730336	135742549	12214	+	CD40LG	135720336	135752549
163	chr3	121774209	121839988	65780	+	CD86	121764209	121849988
8	chr10	101948124	101989344	41221	-	CHUK	101938124	101999344
160	chrX	106143394	106174091	30698	+	CLDN2	106133394	106184091
12	chr1	70876901	70905534	28634	+	CTH	70866901	70915534
14	chr2	204732511	204738683	6173	+	CTLA4	204722511	204748683
76	chr4	76942269	76944689	2421	-	CXCL10	76932269	76954689
66	chr4	74606223	74609433	3211	+	CXCL8	74596223	74619433
16	chr19	41497204	41524301	27098	+	CYP2B6	41487204	41534301
17	chr10	96447882	96612671	164790	+	CYP2C19	96437882	96622671
18	chr10	96698415	96749148	50734	+	CYP2C9	96688415	96759148
19	chr7	99245813	99332819	87007	-	CYP3A5	99235813	99342819
28	chr14	59655381	59838123	182743	+	DAAM1	59645381	59848123
21	chr6	12290529	12297427	6899	+	EDN1	12280529	12307427
22	chr22	41488614	41576081	87468	+	EP300	41478614	41586081
23	chr6	151977830	152424408	446579	+	ESR1	151967830	152434408
52	chr10	90729553	90775542	45990	+	FAS	90719553	90785542
60	chr1	172628185	172636012	7828	+	FASLG	172618185	172646012
24	chr1	161475205	161489360	14156	+	FCGR2A	161465205	161499360
25	chr11	61560109	61564714	4606	+	FEN1	61550109	61574714
103	chrX	49106897	49121288	14392	-	FOXP3	49096897	49131288
32	chr6	53362140	53409927	47788	-	GCLC	53352140	53419927
33	chr1	94352590	94375012	22423	-	GCLM	94342590	94385012
31	chr22	24979718	25024972	45255	+	GGT1	24969718	25034972
35	chr3	49394609	49395791	1183	-	GPX1	49384609	49405791
36	chr14	65405870	65409623	3754	-	GPX2	65395870	65419623
37	chr5	150399999	150408554	8556	+	GPX3	150389999	150418554
39	chr6	52656178	52668664	12487	-	GSTA1	52646178	52678664
168	chr1	110198698	110283660	84963	+	GSTM	110188698	110293660
40	chr1	110230418	110236367	5950	+	GSTM1	110220418	110246367
41	chr11	67351066	67354124	3059	+	GSTP1	67341066	67364124
42	chr22	24376139	24384284	8146	-	GSTT1	24366139	24394284
44	chr14	25100161	25103432	3272	-	GZMB	25090161	25113432
45	chr13	31032879	31191510	158632	-	HMGB1	31022879	31201510
4	chr4	84213614	84256306	42693	-	HPSE	84203614	84266306
47	chr19	10381517	10397291	15775	+	ICAM1	10371517	10407291
43	chr2	204801471	204826298	24828	+	ICOS	204791471	204836298
48	chr12	68548550	68553521	4972	-	IFNG	68538550	68563521
49	chr6	137518621	137540567	21947	-	IFNGR1	137508621	137550567
50	chr21	34775202	34809828	34627	+	IFNGR2	34765202	34819828
53	chr8	42128820	42190171	61352	+	IKBKB	42118820	42200171
67	chr1	206940948	206945839	4892	-	IL10	206930948	206955839
68	chr11	117857106	117872199	15094	+	IL10RA	117847106	117882199
69	chr21	34621014	34669539	48526	+	IL10RB	34611014	34679539
70	chr3	159706623	159713806	7184	+	IL12A	159696623	159723806
71	chr5	158741791	158757481	15691	-	IL12B	158731791	158767481
72	chr19	18170371	18209626	39256	-	IL12RB1	18160371	18219626
73	chr5	131993865	131996801	2937	+	IL13	131983865	132006801
74	chr10	5994334	6020150	25817	-	IL15RA	5984334	6030150
75	chr11	112013974	112034840	20867	-	IL18	112003974	112044840
54	chr2	113531492	113542971	11480	-	IL1A	113521492	113552971
55	chr2	113587337	113594356	7020	-	IL1B	113577337	113604356
56	chr2	102686836	102796334	109499	+	IL1R1	102676836	102806334
57	chr2	113856937	113891593	34657	+	IL1RN	113846937	113901593
58	chr4	123372626	123377650	5025	-	IL2	123362626	123387650
13	chr1	67604590	67725650	121061	+	IL23R	67594590	67735650
59	chr10	6052657	6104333	51677	-	IL2RA	6042657	6114333
61	chr5	132009678	132018370	8693	+	IL4	131999678	132028370
62	chr16	27325230	27376099	50870	+	IL4R	27315230	27386099
63	chr7	22766766	22771621	4856	+	IL6	22756766	22781621
64	chr1	154377669	154441926	64258	+	IL6R	154367669	154451926
65	chr5	35856977	35879705	22729	+	IL7R	35846977	35889705
77	chr19	50162826	50169132	6307	-	IRF3	50152826	50179132
27	chr12	10524952	10544490	19539	-	KLRK1	10514952	10554490
78	chr19	48618703	48673560	54858	-	LIG1	48608703	48683560
79	chr17	33307517	33332088	24572	+	LIG3	33297517	33342088
80	chr12	57522282	57607125	84844	+	LRP1	57512282	57617125
153	chr19	496490	505343	8854	+	MADCAM1	486490	515343
81	chr2	95691400	95719737	28338	+	MAL	95681400	95729737
158	chr3	129149787	129159022	9236	-	MBD4	129139787	129169022
82	chr10	54525140	54531460	6321	-	MBL2	54515140	54541460
83	chr12	16500076	16530123	30048	+	MGST1	16490076	16540123
84	chr22	24236565	24237409	845	+	MIF	24226565	24247409
151	chrX	106057101	106243474	186374	-	MORC4	106047101	106253474
85	chr16	127018	135850	8833	+	MPG	117018	145850
86	chr17	56347217	56358296	11080	-	MPO	56337217	56368296
88	chr1	11845787	11866160	20374	-	MTHFR	11835787	11876160
89	chr1	236958581	237067281	108701	+	MTR	236948581	237077281
90	chr5	7869217	7901235	32019	+	MTRR	7859217	7911235
91	chr1	45794914	45806142	11229	-	MUTYH	45784914	45816142
159	chr8	18027971	18081198	53228	+	NAT1	18017971	18091198
1	chr8	18248755	18258723	9969	+	NAT2	18238755	18268723
92	chr4	103422486	103538459	115974	+	NFKB1	103412486	103548459
93	chr10	104153867	104162286	8420	+	NFKB2	104143867	104172286
94	chr14	35870716	35873960	3245	-	NFKBIA	35860716	35883960
95	chr19	39390340	39399534	9195	+	NFKBIB	39380340	39409534
7	chr1	247579458	247612406	32949	+	NLRP3	247569458	247622406
126	chr16	50727514	50766987	39474	+	NOD2	50717514	50776987
96	chr12	117645947	117799607	153661	-	NOS1	117635947	117809607
97	chr17	26083792	26220409	136618	-	NOS2	26073792	26230409
98	chr7	150688144	150711687	23544	+	NOS3	150678144	150721687
99	chr16	2089816	2097867	8052	-	NTHL1	2079816	2107867
100	chr3	9791628	9808353	16726	+	OGG1	9781628	9818353
101	chr12	10310899	10324790	13892	-	OLR1	10300899	10334790
102	chr12	121570622	121624354	53733	+	P2RX7	121560622	121634354
11	chr1	226548392	226595801	47410	-	PARP1	226538392	226605801
104	chr20	5095599	5107268	11670	-	PCNA	5085599	5117268
105	chr22	39619685	39640957	21273	-	PDGFB	39609685	39650957
116	chr4	157682763	157892546	209784	-	PDGFC	157672763	157902546
152	chr11	103777914	104035027	257114	-	PDGFD	103767914	104045027
106	chr4	54243820	55164412	920593	+	PDGFRA	54233820	55174412
107	chr5	149493402	149535422	42021	-	PDGFRB	149483402	149545422
108	chr17	62396777	62407083	10307	-	PECAM1	62386777	62417083
6	chr19	50364460	50370822	6363	-	PNKP	50354460	50380822
111	chr8	42195973	42229331	33359	+	POLB	42185973	42239331
112	chr19	50887580	50921275	33696	+	POLD1	50877580	50931275
113	chr7	44154279	44163169	8891	-	POLD2	44144279	44173169
114	chr12	133200348	133263945	63598	-	POLE	133190348	133273945
5	chr18	51795849	51824604	28756	+	POLI	51785849	51834604
34	chr10	103338639	103348027	9389	-	POLL	103328639	103358027
115	chr7	94927669	95025687	98019	-	PON1	94917669	95035687
117	chr9	125132809	125157982	25174	+	PTGS1	125122809	125167982
118	chr1	186640944	186649559	8616	-	PTGS2	186630944	186659559
30	chr1	114356433	114414375	57943	-	PTPN22	114346433	114424375
10	chr6	150204511	150217195	12685	-	RAET1E	150194511	150227195
51	chr6	150238014	150244214	6201	-	RAET1G	150228014	150254214
15	chr6	150341266	150346668	5403	-	RAET1L	150331266	150356668
119	chr19	45504707	45541456	36750	+	RELB	45494707	45551456
120	chr4	39289069	39368001	78933	-	RFC1	39279069	39378001
121	chr7	73645832	73668738	22907	-	RFC2	73635832	73678738
122	chr13	34392206	34540695	148490	+	RFC3	34382206	34550695
123	chr3	186507682	186524484	16803	-	RFC4	186497682	186534484
124	chr12	118454506	118470042	15537	+	RFC5	118444506	118480042
125	chr1	169659806	169680843	21038	-	SELL	169649806	169690843
127	chr5	131630145	131679899	49755	+	SLC22A4	131620145	131689899
128	chr5	131705401	131731306	25906	+	SLC22A5	131695401	131741306
29	chr12	54574142	54582778	8637	-	SMUG1	54564142	54592778
129	chr2	191894302	192038902	144601	-	STAT4	191884302	192048902
130	chr11	59620281	59634041	13761	-	TCN1	59610281	59644041
131	chr22	31003070	31023047	19978	+	TCN2	30993070	31033047
132	chr12	104359593	104382656	23064	+	TDG	104349593	104392656
133	chr19	41836812	41859831	23020	-	TGFB1	41826812	41869831
134	chr1	218518676	218617961	99286	+	TGFB2	218508676	218627961
135	chr9	101867412	101916473	49062	+	TGFBR1	101857412	101926473
136	chr3	30647994	30735633	87640	+	TGFBR2	30637994	30745633
137	chr1	92145900	92371559	225660	-	TGFBR3	92135900	92381559
138	chr4	38797876	38806412	8537	-	TLR1	38787876	38816412
154	chr4	38773860	38784611	10752	-	TLR10	38763860	38794611
139	chr4	154605441	154627242	21802	+	TLR2	154595441	154637242
140	chr4	186990309	187006252	15944	+	TLR3	186980309	187016252
141	chr9	120466453	120479769	13317	+	TLR4	120456453	120489769
142	chr1	223282748	223316624	33877	-	TLR5	223272748	223326624
3	chr4	38825329	38858438	33110	-	TLR6	38815329	38868438
110	chr3	52255096	52265247	10152	-	TLR9	52245096	52275247
167	chr6	31543344	31546113	2770	+	TNF	31533344	31556113
157	chr8	23048970	23082680	33711	-	TNFRSF10A	23038970	23092680
143	chr12	6437923	6451283	13361	-	TNFRSF1A	6427923	6461283
144	chr1	12227060	12269277	42218	+	TNFRSF1B	12217060	12279277
155	chr3	172223298	172241297	18000	-	TNFSF10	172213298	172251297
146	chr1	173152870	173176471	23602	-	TNFSF4	173142870	173186471
