chr	gene	nSNPs	nSims	start	stop	Test	geneBased.pval	topSNP	topSNP.pval	genome	cohort	outcome	disease
7	ABCB1	590	10000	87123178	87352639	896.501940905521	0.0397960203979602	rs10278483	0.00205526775181376	D	c1	DD	ALLonly
16	ABCC1	858	1000	16033433	16246930	436.965622517306	0.871128871128871	rs6416667	0.019125123746398	D	c1	DD	ALLonly
13	ABCC4	1530	1000	95662082	95963687	1258.3602908135	0.378621378621379	rs12874697	0.00181908697943933	D	c1	DD	ALLonly
4	ABCG2	574	1000	89001415	89162474	659.064733339941	0.18981018981019	rs142849884	0.000243146850422153	D	c1	DD	ALLonly
14	APEX1	78	10000	20913289	20935931	174.471311834793	0.024997500249975	rs11160711	0.00247787869233129	D	c1	DD	ALLonly
19	C3	295	1000	6667845	6730662	257.824724917211	0.41958041958042	rs11569538	0.0106197045600208	D	c1	DD	ALLonly
19	CARD8	321	1000	48701342	48769203	292.131545242982	0.447552447552448	rs149478741	0.00311469773801931	D	c1	DD	ALLonly
21	CBS	229	1000	44463300	44506472	170.911958450703	0.6003996003996	rs57538964	0.031495328976082	D	c1	DD	ALLonly
3	CCR5	80	1000	46401632	46427697	125.022597479478	0.144855144855145	rs6441974	0.0228294423933394	D	c1	DD	ALLonly
5	CD14	62	1000	140001312	140023286	27.1768600386783	0.69030969030969	rs11574651	0.136176419961136	D	c1	DD	ALLonly
9	CD274	149	1000	5440502	5480567	68.6755320435325	0.907092907092907	rs147055142	0.045681309396023	D	c1	DD	ALLonly
2	CD28	135	1000	204561197	204613636	112.456097833313	0.472527472527473	rs7590672	0.0281876430010082	D	c1	DD	ALLonly
20	CD40	95	1000	44736905	44768384	81.9810469482253	0.43956043956044	rs73112886	0.00981516325424084	D	c1	DD	ALLonly
3	CD86	191	1000	121764208	121849988	232.024771887518	0.221778221778222	rs17281995	0.00920403172148391	D	c1	DD	ALLonly
10	CHUK	145	1000	101938123	101999344	62.2905753962954	0.803196803196803	rs11190423	0.0456886188890584	D	c1	DD	ALLonly
1	CTH	141	10000	70866900	70915534	255.457501956114	0.035996400359964	rs61359012	0.00334355845601252	D	c1	DD	ALLonly
2	CTLA4	57	1000	204722510	204748683	21.565975134662	0.811188811188811	rs11571290	0.147897652292037	D	c1	DD	ALLonly
4	CXCL10	96	1000	76932268	76954689	29.4451796978242	0.84015984015984	rs35795399	0.0649209182128626	D	c1	DD	ALLonly
4	CXCL8	44	1000	74596222	74619433	25.1550852843349	0.625374625374625	rs79640485	0.0234509964906687	D	c1	DD	ALLonly
19	CYP2B6	213	1000	41487203	41534301	283.137302844198	0.164835164835165	rs12985017	0.00801498934952619	D	c1	DD	ALLonly
10	CYP2C19	328	1000	96512462	96622671	217.632711756853	0.594405594405594	rs112163243	0.0175414787761999	D	c1	DD	ALLonly
10	CYP2C9	299	1000	96688414	96759148	161.71903063155	0.67032967032967	rs111293567	0.00117405768802403	D	c1	DD	ALLonly
7	CYP3A5	83	1000	99235811	99287649	68.7200761293701	0.431568431568432	rs28365088	0.00191685134747943	D	c1	DD	ALLonly
14	DAAM1	614	1000	59645380	59848123	610.82962088132	0.414585414585415	rs150636975	4.06495874013532e-05	D	c1	DD	ALLonly
6	EDN1	85	1000	12280528	12307427	65.2620151248106	0.503496503496504	rs75477886	0.0194034298716228	D	c1	DD	ALLonly
6	ESR1	1471	1000	152001630	152434408	1081.47440295365	0.724275724275724	rs138978746	0.000493672013914822	D	c1	DD	ALLonly
10	FAS	225	1000	90740287	90785542	102.130711810485	0.849150849150849	rs138097828	0.0424298225931517	D	c1	DD	ALLonly
1	FASLG	66	1000	172618184	172646012	42.7793328669031	0.653346653346653	rs41309790	0.10344473243524	D	c1	DD	ALLonly
1	FCGR2A	125	1000	161465204	161499360	82.8895753024937	0.71028971028971	rs114587108	0.0137834159334104	D	c1	DD	ALLonly
11	FEN1	37	1000	61550108	61574714	44.0545611433287	0.165834165834166	rs61896141	0.00373955360774801	D	c1	DD	ALLonly
6	GCLC	273	1000	53352139	53419927	189.207122807861	0.611388611388611	rs116642058	0.0242813864645025	D	c1	DD	ALLonly
1	GCLM	153	1000	94342589	94385012	113.233385566425	0.541458541458541	rs17885006	0.0317737366511647	D	c1	DD	ALLonly
22	GGT1	204	1000	24969717	25034972	116.761626081058	0.912087912087912	rs62231211	0.0291690937712942	D	c1	DD	ALLonly
3	GPX1	37	1000	49384608	49405791	43.1640965040637	0.200799200799201	rs114338085	0.00765973392809239	D	c1	DD	ALLonly
14	GPX2	82	1000	65395869	65419623	34.4549647523855	0.852147852147852	rs189242967	0.0462982838869434	D	c1	DD	ALLonly
5	GPX3	112	1000	150389998	150418554	101.914540051038	0.250749250749251	rs4958872	0.0308396541683617	D	c1	DD	ALLonly
6	GSTA1	96	1000	52646177	52678664	54.512734525984	0.625374625374625	rs143523660	0.0834301487510844	D	c1	DD	ALLonly
1	GSTM1	40	1000	110220417	110246367	28.0405634578375	0.85014985014985	rs35553604	0.0209546420780072	D	c1	DD	ALLonly
1	GSTM2	86	1000	110200643	110236619	55.418794703775	0.74025974025974	rs599363	0.0352002382134688	D	c1	DD	ALLonly
1	GSTM3	65	1000	110266553	110293660	47.7380702597858	0.526473526473527	rs55976937	0.00578805885702568	D	c1	DD	ALLonly
1	GSTM4	100	1000	110188697	110218123	55.6430410882723	0.771228771228771	rs113936771	0.0690177299720902	D	c1	DD	ALLonly
1	GSTM5	108	1000	110244863	110270890	123.68585470875	0.270729270729271	rs71665061	0.00694347803894967	D	c1	DD	ALLonly
11	GSTP1	93	1000	67341065	67364124	25.4587101920628	0.922077922077922	rs79576315	0.0277486869501822	D	c1	DD	ALLonly
22	GSTT1	10	1000	24366138	24394284	10.656133575099	0.394605394605395	rs56106137	0.0487256245182598	D	c1	DD	ALLonly
14	GZMB	84	1000	25090160	25113432	101.541089214222	0.264735264735265	rs142602680	0.00412639709135531	D	c1	DD	ALLonly
13	HMGB1	59	1000	31022878	31050081	18.5284463415816	0.929070929070929	rs4343121	0.105943014506131	D	c1	DD	ALLonly
4	HPSE	167	1000	84203613	84266306	206.264718063024	0.210789210789211	rs76652329	0.040694155689752	D	c1	DD	ALLonly
19	ICAM1	99	1000	10371516	10407291	72.8131056100521	0.605394605394605	rs112387158	0.0230111831345996	D	c1	DD	ALLonly
2	ICOS	181	1000	204791470	204836298	133.062781639081	0.664335664335664	rs142309372	0.0445684719354253	D	c1	DD	ALLonly
12	IFNG	81	1000	68538549	68563521	162.224198931566	0.0719280719280719	rs117111017	0.00102004128599255	D	c1	DD	ALLonly
